bin_size,cluster_size,kernel_execution_time(ms)
16384,1,0.272032
16384,2,0.538016
16384,4,0.606336
16384,8,0.656416
16384,16,0.005376
32768,1,0.248032
32768,2,0.005216
32768,4,0.607872
32768,8,0.654336
32768,16,0.005056
65536,1,0.247488
65536,2,0.006112
65536,4,0.00496
65536,8,0.655296
65536,16,0.005216
131072,1,0.246208
131072,2,0.005248
131072,4,0.00544
131072,8,0.005824
131072,16,0.006272
262144,1,0.297536
262144,2,0.005248
262144,4,0.006304
262144,8,0.00528
262144,16,0.00532
524288,1,0.264224
524288,2,0.005344
524288,4,0.00544
524288,8,0.005632
524288,16,0.005312 
